name,lat,lng
Shanono,12.051536,7.992
Jada,8.756817,12.155366
Rabah,13.122573,5.507616
Gembu,6.719209,11.253517
Safana,12.410754,7.414556
Dekina,7.689671,7.043802
Ikeja,6.596506,3.342052
Ode-Irele,6.494184,4.870359
Urualla,5.85397,7.099064
Sokoto,13.062695,5.243225
Agbor,6.253748,6.194201
Kurfi,12.6663,7.484779
Ankpa,7.402485,7.631959
Gubio,12.497488,12.780888
Ibi,8.181216,9.744305
Baap,8.943205,9.241258
Ilaro,6.889011,3.014162
Ise-Ekiti,7.464778,5.423328
Burutu,5.353283,5.508265
Nasarawa Egon,8.71226,8.540598
Ungogo,12.09171,8.495307
Koko,6.000843,5.455225
Oka,7.460121,5.801743
Ogaminana,7.593826,6.217976
Iwere-Ile,7.999191,3.088266
Ahoada,5.082805,6.649813
Bunkure,11.699236,8.541266
Kunchi,12.502601,8.27092
Akwanga,8.910769,8.406552
Igbo-Ora,7.433834,3.287879
Bama,11.521339,13.689524
Bajoga,10.851518,11.431689
Ganye,8.434972,12.051073
Rimi,12.850298,7.709745
Deba,10.211867,11.387101
Efon-Alaaye,7.656495,4.922354
Effurun,5.556294,5.784591
Itas,11.857505,9.963943
Mopa,8.103872,5.892798
Takum,7.255323,9.985512
Aboh,5.475689,7.271606
Eruwa,7.53365,3.41796
Aboh,5.547815,6.525879
Fufore,9.221748,12.649747
Fufu,8.448382,4.720768
Adikpo,6.890017,9.23351
Mutum Biyu,8.641381,10.773549
Odoro Ikpe,5.358349,7.751844
Kafin Madaki,10.688558,9.760513
Kagara,10.186623,6.254852
Dambatta,12.434997,8.515314
Damboa,11.155338,12.75638
Omoba,5.242684,7.406232
Mani,12.854262,7.875261
Isua,7.453609,5.910472
Babura,12.77256,9.015251
Ukpor,5.942113,6.929313
Owode,6.94851,3.505605
Mgbidi,5.732361,6.888693
Misau,11.313699,10.466637
Toto,8.387596,7.077511
Ijero-Ekiti,7.815138,5.067162
Aliero,12.288353,4.471391
Mangu,9.520595,9.097695
Iperindo,7.50119,4.824773
Charanchi,12.671545,7.729292
Ndeaboh,6.034054,7.568428
Igbekebo,6.355206,4.86221
Gulak,10.805298,13.458241
Langtang,9.141639,9.791007
Bindawa,12.669875,7.808654
Dapchi,12.495362,11.499775
Ikot Ibritam,4.811712,7.614012
Shendam,8.878659,9.534645
Iloffa,8.093428,5.142327
Ilobu,7.84036,4.48557
Ipokia,6.524989,2.842465
Gwiwa,12.781693,8.337224
Obagaji,7.89169,7.909384
Asaba,6.198474,6.727431
Ugwolawo,7.236723,6.92302
Nto Edino,5.25704,7.575693
Kura,11.772319,8.426307
Sabuwa,11.173722,7.121127
Kankia,12.546366,7.822544
Wara,10.228844,4.623629
Agwara,10.706111,4.581254
Oke-Oyi,8.582635,4.716223
Gboko,7.322755,9.001078
Apomu,7.35156,4.183354
Bagwai,12.157704,8.1358
Damagum,11.678237,11.335174
Iresa-Adu,8.087473,4.39264
Sankwala,6.547535,9.222584
Ilawe-Ekiti,7.598812,5.104698
Bode Osi,7.751031,4.229796
Balle,13.470286,4.681189
Emuoha,4.883996,6.860104
